
intermediary 中间媒介
coin 创造
aspiration 愿望
rallyingcry 号召
quantifiable 可量化的
capture 采集，表达，描述
paradigm 范例
daunting 令人畏惧的
transformation 变换
commonality 共同特征;共性
medium 媒介
readily 轻而易举地
implement 实施
modelingprimitives 建模原语
prototyping 原型设计法
assign 分派
capitalize 利用
prescribe 规定
intermediate 中间的
hierarchy 层次结构
elicit 启发
demonstrate 说明展示
disciplined纪律性的
generalization概述
properties 性质
verification  检查
validation  验证
validated 有效的
dictate 决定
depiction 描述
decomposition 分解
devise 设计
confer 协商;交换意见
intimate 密切的
converge 融合
sophisticated 复杂的
profound 意义深远的
obsolete 过时的
autonomous 自治的
forcibly 强行地
connectivity 连通性
windowshop 浏览橱窗;逛商店
stacks 书库
encompass 包括
topology 拓扑结构
fairly 相当的
peripheral 外围的
hub 中心；集线器
polling 轮询
backbone 骨干 
decentralized 分散的;非集中的
dispersed 分散的
hybrid 混合的
prime v.把(事物)准备好
itinerary 行程
specialization 专业化
authority 权利
focalpoint 焦点
decline 下降
scale 规模；范围
transmission 传输
lease 租赁
gateway 网关
router 路由器
intranet 内联网;内部网
extranet 外联网;外部网 
resemble v.类似于
browser 浏览器
intuitive 直观的
supplier 供应商
inventory 库存
concrete 具体的
simultaneous 同时的
timing 节奏
textual 文本的
universal 普遍的
resolution 分辨率
pixel 像素
density 密度
compress 压缩
incorporateinto 纳入
whereas  (对比两个事实)然而
discrete 离散的
analog 模拟
ingredient 元素
motion 运动
illusion 错觉
procure 获得
deteriorate 恶化
distortion 失真
cassette 录影带盒
cognitive 认知的
mimic 模仿
general-purpose 通用的
revive 复个兴
resurgence 复兴
logistics 物流
benchmark 基准
reigning 现任的
handicap 让步
reasoning 推理
optimization 优化
drawupon 利用
neuron 神经元
tedious  乏味的
sensory 感觉的;感官的
deduce 推论;推断
navigation 导航
explicitprogramming 显式编程
supervisedlearning 监督学习
regression 回归
cluster 聚类
hence 因此
reinforcementlearning 强化学习
collaborative 协同的
e-commerce 电子商务
